{0.11, 2.2169413765180156*^64}
{0.12000000000000001, 2.7841651282675055*^64}
{0.13, 3.194265095439484*^64}
{0.14, 3.3959550908964516*^64}
{0.15000000000000002, 3.6253940839195475*^64}
{0.16, 3.6196897339573754*^64}
{0.17, 3.4355068897206433*^64}
{0.18, 3.0961576191432805*^64}
{0.19, 3.020372194992603*^64}
{0.2, 2.7693205818002276*^64}
{0.21000000000000002, 2.6241026285238096*^64}
{0.22, 2.4641868281683054*^64}
{0.23, 2.0581569783747125*^64}
{0.24000000000000002, 1.8591302865059646*^64}
{0.25, 1.653715232438412*^64}
{0.26, 1.4000104832513227*^64}
{0.27, 1.306410988738742*^64}
{0.28, 1.1497186945281112*^64}
{0.29000000000000004, 9.510741426879811*^63}
{0.30000000000000004, 8.33855417117151*^63}
{0.31, 7.77665441357256*^63}
{0.32, 5.964277407534765*^63}
{0.33, 5.549816992320874*^63}
{0.33999999999999997, 4.4621592770237725*^63}
{0.35, 4.004533322963298*^63}
{0.36, 3.0799959055581518*^63}
{0.37, 2.6545274778913035*^63}
{0.38, 2.3161180640362487*^63}
{0.39, 1.8444602809736142*^63}
{0.4, 1.7512538823155664*^63}
{0.41000000000000003, 1.3236818700447957*^63}
{0.42000000000000004, 1.0781637901142392*^63}
{0.43000000000000005, 8.73323867908083*^62}
{0.44000000000000006, 7.684146257732533*^62}
{0.45000000000000007, 6.611958189331201*^62}
{0.45999999999999996, 5.263468957190016*^62}
{0.47, 4.638733965833652*^62}
{0.48, 3.4580968220284527*^62}
{0.49, 2.9674500593821127*^62}
{0.5, 2.347890243042832*^62}
{0.51, 2.0222234049719846*^62}
{0.52, 1.7117338095834339*^62}
{0.53, 1.318262553851295*^62}
{0.54, 1.1030353136382342*^62}
{0.55, 8.866794361960882*^61}
{0.56, 7.502871751652086*^61}
{0.5700000000000001, 6.015854948207206*^61}
{0.58, 4.6955322431124393*^61}
{0.59, 3.917881129646852*^61}
{0.6, 3.188833002900958*^61}
{0.61, 2.5694463388679133*^61}
{0.62, 1.9186960567885478*^61}
{0.63, 1.5923984440972065*^61}
{0.64, 1.4007514407616523*^61}
{0.65, 1.0945146153289569*^61}
{0.66, 9.36760295545467*^60}
{0.67, 7.068526811697371*^60}
{0.6799999999999999, 5.3676265088575686*^60}
{0.69, 4.633919303184466*^60}
{0.7, 3.716506716684407*^60}
{0.71, 2.7269376246833794*^60}
{0.72, 2.4145483203971117*^60}
{0.73, 1.78662416815131*^60}
{0.74, 1.5286300466983434*^60}
{0.75, 1.1919896937581387*^60}
{0.76, 9.2442380447738*^59}
{0.77, 7.5136012974819566*^59}
{0.78, 6.338324460046377*^59}
{0.79, 5.238293579110672*^59}
{0.8, 3.934118595369425*^59}
{0.8099999999999999, 3.106721361322725*^59}
{0.82, 2.3481071138488103*^59}
{0.83, 1.9993838480039604*^59}
{0.84, 1.5732689506018896*^59}
{0.85, 1.298607671460368*^59}
