{0.41000000000000003, 2.759347634656165*^62}
{0.42000000000000004, 3.326608205272679*^62}
{0.43000000000000005, 3.7209250514152902*^62}
{0.44, 3.438970402059803*^62}
{0.45, 3.2292434857710807*^62}
{0.46, 3.265034057847865*^62}
{0.47000000000000003, 2.732940244054839*^62}
{0.48000000000000004, 2.2811863274964763*^62}
{0.49, 2.143798891523226*^62}
{0.5, 1.7990458603038943*^62}
{0.51, 1.4075389922751778*^62}
{0.52, 1.2341502823340125*^62}
{0.53, 1.1488492296284269*^62}
{0.54, 8.451773542291939*^61}
{0.55, 7.354963158647444*^61}
{0.56, 5.587158145398147*^61}
{0.5700000000000001, 4.8089949625020415*^61}
{0.5800000000000001, 4.0317649956563534*^61}
{0.5900000000000001, 3.313980395087601*^61}
{0.6000000000000001, 2.662089905459384*^61}
{0.61, 2.3160646918268708*^61}
{0.62, 1.8194017714230487*^61}
{0.63, 1.565606717153346*^61}
{0.64, 1.1811099377682116*^61}
{0.65, 1.0516045290175303*^61}
{0.66, 8.511945594709597*^60}
{0.67, 6.757458774755087*^60}
{0.68, 4.954185356036484*^60}
{0.69, 4.476479842824477*^60}
{0.7, 3.6401445599485014*^60}
{0.71, 2.79727707251526*^60}
{0.72, 2.3016981528621958*^60}
{0.73, 1.929047436599781*^60}
{0.74, 1.4779983919777813*^60}
{0.75, 1.0828134014862598*^60}
{0.76, 9.548398547477199*^59}
{0.77, 7.567997531185068*^59}
{0.78, 6.406317317434237*^59}
{0.79, 5.178510677794249*^59}
{0.8, 4.3052545040451915*^59}
{0.81, 3.1914309771993446*^59}
{0.8200000000000001, 2.594938872702011*^59}
{0.8300000000000001, 1.9557876014338372*^59}
{0.8400000000000001, 1.577934385372294*^59}
