{0.31, 2.102871374769864*^63}
{0.32, 2.4992243163131064*^63}
{0.32999999999999996, 2.3816982437529783*^63}
{0.33999999999999997, 2.413535510060575*^63}
{0.35, 2.315160601811056*^63}
{0.36, 1.962538685991455*^63}
{0.37, 1.8789030824976196*^63}
{0.38, 1.5891032411089398*^63}
{0.39, 1.3804728456034366*^63}
{0.4, 1.2937275285091223*^63}
{0.41, 9.406900776568356*^62}
{0.42, 8.781440102246085*^62}
{0.43, 7.802939751179568*^62}
{0.44, 6.550837453010729*^62}
{0.44999999999999996, 5.148266693622001*^62}
{0.45999999999999996, 4.554962772674912*^62}
{0.47, 3.548355035410258*^62}
{0.48, 3.149364600470217*^62}
{0.49, 2.60131921615775*^62}
{0.5, 2.166242551929908*^62}
{0.51, 1.7914923600738233*^62}
{0.52, 1.5599108997596757*^62}
{0.53, 1.210698151342973*^62}
{0.54, 9.701394343289472*^61}
{0.55, 7.686820057503615*^61}
{0.56, 6.884292527104693*^61}
{0.5700000000000001, 5.51193736023147*^61}
{0.5800000000000001, 4.648294122306967*^61}
{0.59, 3.719646345343156*^61}
{0.6, 2.949853869730006*^61}
{0.61, 2.3855740485035856*^61}
{0.62, 2.0800711659204926*^61}
{0.63, 1.522982246931867*^61}
{0.64, 1.2551200844142074*^61}
{0.65, 1.0973496838693173*^61}
{0.6599999999999999, 8.973222215961918*^60}
{0.6699999999999999, 7.036780409542198*^60}
{0.6799999999999999, 5.921623151532454*^60}
{0.69, 4.8343880062289416*^60}
{0.7, 3.862083449220209*^60}
{0.71, 3.0424310721565616*^60}
{0.72, 2.386788010334375*^60}
{0.73, 1.9266489430794763*^60}
{0.74, 1.4874890065234455*^60}
{0.75, 1.201217851066246*^60}
{0.76, 1.0054216245961677*^60}
{0.77, 7.168535706474936*^59}
{0.78, 5.936287176841856*^59}
{0.79, 4.9706776250579345*^59}
{0.8, 4.214479087845968*^59}
{0.81, 3.2683966093134676*^59}
{0.8200000000000001, 2.5768722572541587*^59}
{0.8300000000000001, 1.9659738495918842*^59}
{0.8400000000000001, 1.535727767086648*^59}
{0.8500000000000001, 1.3714259100203195*^59}
