{0.08, 1.8388778009697267*^64}
{0.09000000000000001, 2.659475725980356*^64}
{0.1, 3.1201972607446027*^64}
{0.11000000000000001, 3.815122716563704*^64}
{0.12000000000000001, 4.332388562668303*^64}
{0.13, 4.2822914838307625*^64}
{0.14, 4.279820947524578*^64}
{0.15000000000000002, 3.9198013581065005*^64}
{0.16, 4.074323471090609*^64}
{0.17, 3.665056924991843*^64}
{0.18, 3.700571050243601*^64}
{0.19, 3.412624651756579*^64}
{0.2, 3.0217512480341896*^64}
{0.21000000000000002, 2.660142237300552*^64}
{0.22, 2.4202747975367212*^64}
{0.23, 2.2415304435545872*^64}
{0.24000000000000002, 2.072360718455306*^64}
{0.25, 1.6908568373231017*^64}
{0.26, 1.6305353703545367*^64}
{0.27, 1.3481116222659396*^64}
{0.28, 1.0977979991534784*^64}
{0.29000000000000004, 1.0314174453497168*^64}
{0.30000000000000004, 8.01512312682637*^63}
{0.31, 7.5972336157745*^63}
{0.32, 6.570385147371398*^63}
{0.33, 5.25924244203874*^63}
{0.34, 4.8253523387473524*^63}
{0.35000000000000003, 3.660116853130701*^63}
{0.36, 3.2663040002542664*^63}
{0.37, 2.77226640310583*^63}
{0.38, 2.2817027769780143*^63}
{0.39, 1.9316829431882485*^63}
{0.4, 1.5443041657674083*^63}
{0.41000000000000003, 1.3322022885223596*^63}
{0.42000000000000004, 1.109261591796247*^63}
{0.43, 9.144341560913633*^62}
{0.44, 8.251012259168405*^62}
{0.45, 6.4742283471580785*^62}
{0.46, 5.450940076075565*^62}
{0.47000000000000003, 4.422203393355257*^62}
{0.48000000000000004, 3.6985739306383*^62}
{0.49, 2.9064411104169085*^62}
{0.5, 2.5432594256530783*^62}
{0.51, 2.0378714937932203*^62}
{0.52, 1.5354254306009134*^62}
{0.53, 1.3255323348649466*^62}
{0.54, 1.0104758986780477*^62}
{0.55, 8.964252048053543*^61}
{0.56, 6.958996821967326*^61}
{0.5700000000000001, 5.68999561541711*^61}
{0.5800000000000001, 4.877022939669312*^61}
{0.5900000000000001, 3.9451356169474615*^61}
{0.6000000000000001, 3.2102798236976684*^61}
{0.6100000000000001, 2.763370799175824*^61}
{0.6200000000000001, 2.1278892914084684*^61}
{0.6300000000000001, 1.5725903018294288*^61}
{0.6400000000000001, 1.2987446435009434*^61}
{0.6499999999999999, 1.1477215944402848*^61}
{0.6599999999999999, 8.455102089775325*^60}
{0.6699999999999999, 7.14236655805576*^60}
{0.6799999999999999, 5.76945281565516*^60}
{0.69, 4.438517609630002*^60}
{0.7, 3.40520972068129*^60}
{0.71, 2.7952775499780992*^60}
{0.72, 2.282263551846894*^60}
{0.73, 1.9699595342742305*^60}
{0.74, 1.589162925077631*^60}
{0.75, 1.2273879783450206*^60}
{0.76, 9.31425279779417*^59}
{0.77, 7.760590381770296*^59}
{0.78, 6.35730433738137*^59}
{0.79, 4.664992963935241*^59}
{0.8, 3.8867908573024425*^59}
{0.81, 3.4252270279081006*^59}
{0.8200000000000001, 2.510383959218118*^59}
{0.8300000000000001, 2.0306100008658247*^59}
{0.8400000000000001, 1.4239908029649994*^59}
{0.8500000000000001, 1.2899935357460538*^59}
