{0.02, 1.1011707321602728*^63}
{0.03, 4.43116298471448*^63}
{0.04, 9.432523652890166*^63}
{0.05, 1.6351421631916372*^64}
{0.060000000000000005, 2.3258215400454145*^64}
{0.06999999999999999, 2.9942201217390593*^64}
{0.08, 3.6926185168118146*^64}
{0.09, 4.051186707966074*^64}
{0.09999999999999999, 4.2781539255692485*^64}
{0.11, 4.7480226655402046*^64}
{0.12, 5.102071263572388*^64}
{0.13, 4.869612675809504*^64}
{0.14, 4.7977420827537376*^64}
{0.15000000000000002, 4.7673372179709127*^64}
{0.16, 4.564231029768481*^64}
{0.17, 4.2644019372607035*^64}
{0.18000000000000002, 3.882646097930237*^64}
{0.19, 3.5676492771590077*^64}
{0.2, 2.946782543525682*^64}
{0.21000000000000002, 2.5979496950365158*^64}
{0.22, 2.6900069384833504*^64}
{0.23, 2.271654890975015*^64}
{0.24000000000000002, 2.0455439097156388*^64}
{0.25, 1.7749175862756103*^64}
{0.26, 1.5386866163600955*^64}
{0.27, 1.2876713697496928*^64}
{0.28, 1.0905149936862835*^64}
{0.29000000000000004, 1.0224610874891545*^64}
{0.3, 8.481298761771105*^63}
{0.31, 7.703501974654504*^63}
{0.32, 6.583178003688247*^63}
{0.33, 5.430127042628388*^63}
{0.34, 4.575178340235397*^63}
{0.35000000000000003, 3.755967833961028*^63}
{0.36000000000000004, 3.383468200808815*^63}
{0.37, 2.8560754907474254*^63}
{0.38, 2.3241116091377237*^63}
{0.39, 2.0035544208540128*^63}
{0.4, 1.539683639505347*^63}
{0.41000000000000003, 1.3118490604041375*^63}
{0.42000000000000004, 1.1082031526985746*^63}
{0.43, 9.663725374497671*^62}
{0.44, 7.605792187425221*^62}
{0.45, 6.588589141368828*^62}
{0.46, 5.112779270250744*^62}
{0.47000000000000003, 4.371003538736004*^62}
{0.48000000000000004, 3.413509693078914*^62}
{0.49, 3.085615959015322*^62}
{0.5, 2.468718001147163*^62}
{0.51, 1.9692607254135385*^62}
{0.52, 1.533211016774642*^62}
{0.53, 1.3388116051815558*^62}
{0.54, 1.1533098032270877*^62}
{0.55, 8.48169509814292*^61}
{0.56, 7.128303267061262*^61}
{0.5700000000000001, 5.764279350275193*^61}
{0.5800000000000001, 4.95482088812593*^61}
{0.59, 3.805072947989761*^61}
{0.6, 3.300468428023002*^61}
{0.61, 2.568024742930859*^61}
{0.62, 2.1360927414255336*^61}
{0.63, 1.6818281576505796*^61}
{0.64, 1.294602467518373*^61}
{0.65, 1.0619327674953828*^61}
{0.66, 8.80995562310299*^60}
{0.67, 6.535605427208906*^60}
{0.68, 5.49782712680718*^60}
{0.6900000000000001, 4.559219844353361*^60}
{0.7000000000000001, 3.838259775757633*^60}
{0.7100000000000001, 2.9346609352129808*^60}
{0.72, 2.235989372362069*^60}
{0.73, 2.0112356864417756*^60}
{0.74, 1.4439721944897776*^60}
{0.75, 1.2448407615435988*^60}
{0.76, 9.085699694223159*^59}
{0.77, 8.165387476925665*^59}
{0.78, 6.255234823719752*^59}
{0.79, 4.890962303656183*^59}
{0.8, 3.99078518821948*^59}
{0.81, 2.9838591096630934*^59}
{0.8200000000000001, 2.500313476434879*^59}
{0.8300000000000001, 1.9706708999493832*^59}
{0.8400000000000001, 1.5647004092730864*^59}
{0.85, 1.326940228911547*^59}
