{0.21000000000000002, 9.187494182659373*^63}
{0.22, 1.088177742619985*^64}
{0.23, 1.1728078367209131*^64}
{0.24000000000000002, 1.1635941556693489*^64}
{0.25, 1.1615662643891589*^64}
{0.26, 1.0867494642123661*^64}
{0.27, 9.632832518504833*^63}
{0.28, 9.101470225101282*^63}
{0.29000000000000004, 8.095594499968193*^63}
{0.30000000000000004, 7.217041044847935*^63}
{0.31, 5.95035945567425*^63}
{0.32, 4.871646220560637*^63}
{0.33, 4.706559346380488*^63}
{0.34, 3.861306279262491*^63}
{0.35, 3.3591780096574905*^63}
{0.36, 2.688816458459825*^63}
{0.37, 2.4782543681040373*^63}
{0.38, 1.9966038145185702*^63}
{0.39, 1.901302400040187*^63}
{0.4, 1.5843250997593627*^63}
{0.41000000000000003, 1.2499606103067504*^63}
{0.42000000000000004, 1.0283140175801721*^63}
{0.43000000000000005, 8.941360323326411*^62}
{0.44, 6.883497321467316*^62}
{0.45, 6.568706020276459*^62}
{0.46, 5.076740673190903*^62}
{0.47000000000000003, 4.267502909299578*^62}
{0.48000000000000004, 3.6854475343710315*^62}
{0.49, 2.8432617222924392*^62}
{0.5, 2.306991627061526*^62}
{0.51, 1.9033039762911247*^62}
{0.52, 1.5577493906333934*^62}
{0.53, 1.272582372124136*^62}
{0.54, 1.0808895233602465*^62}
{0.55, 8.161024163603481*^61}
{0.56, 7.538672597340122*^61}
{0.5700000000000001, 5.467420019932788*^61}
{0.5800000000000001, 5.034717437663698*^61}
{0.5900000000000001, 3.7566137602594153*^61}
{0.6000000000000001, 3.126180058752129*^61}
{0.6100000000000001, 2.5678167334880125*^61}
{0.62, 2.057285421129709*^61}
{0.63, 1.5510353621324712*^61}
{0.64, 1.2021207080827148*^61}
{0.65, 1.031883279321228*^61}
{0.66, 9.614149352019892*^60}
{0.67, 6.80881163618399*^60}
{0.6799999999999999, 5.815961083801811*^60}
{0.69, 4.313260997888533*^60}
{0.7, 3.5845142702257865*^60}
{0.71, 2.979935913824851*^60}
{0.72, 2.2779291422404772*^60}
{0.73, 1.760429731868241*^60}
{0.74, 1.5597501685790459*^60}
{0.75, 1.1667530015271479*^60}
{0.76, 9.966209001336852*^59}
{0.77, 7.845816924957737*^59}
{0.78, 7.0049654187244645*^59}
{0.79, 4.966517194404206*^59}
{0.8, 3.849817302576395*^59}
{0.81, 3.0909944920610474*^59}
{0.8200000000000001, 2.739022750623338*^59}
{0.8300000000000001, 1.9921911736624229*^59}
{0.8400000000000001, 1.550849184322587*^59}
