{0.060000000000000005, 1.2947673174121743*^64}
{0.07, 2.3335520046149472*^64}
{0.08, 2.82593752798391*^64}
{0.09, 3.478542262727798*^64}
{0.1, 4.062279106630609*^64}
{0.11, 4.344116123536796*^64}
{0.12000000000000001, 4.534453426518651*^64}
{0.13, 4.5082895597515305*^64}
{0.14, 4.3919717604008673*^64}
{0.15000000000000002, 4.3481611419997794*^64}
{0.16, 4.23847051846075*^64}
{0.16999999999999998, 3.693397000120316*^64}
{0.18, 3.620224259560866*^64}
{0.19, 3.4101581521228385*^64}
{0.2, 3.2141101466752583*^64}
{0.21000000000000002, 2.900404885242852*^64}
{0.22000000000000003, 2.5531723988464294*^64}
{0.22999999999999998, 2.018918993588836*^64}
{0.24, 1.9197540193163575*^64}
{0.25, 1.7611700762292963*^64}
{0.26, 1.522156067030529*^64}
{0.27, 1.3387588890103683*^64}
{0.28, 1.188206636343281*^64}
{0.29, 9.912689689951976*^63}
{0.3, 9.011343552191531*^63}
{0.31, 7.856432756601599*^63}
{0.32, 6.522503679718234*^63}
{0.33, 5.359086875193653*^63}
{0.33999999999999997, 4.65401912773192*^63}
{0.35, 3.7581131785755795*^63}
{0.36, 3.2622941692406186*^63}
{0.37, 2.5503031490803693*^63}
{0.38, 2.2824599096252995*^63}
{0.39, 1.9855466993181407*^63}
{0.4, 1.6199749603727324*^63}
{0.41, 1.357810181254075*^63}
{0.42, 1.253782481815716*^63}
{0.43, 9.10613482741731*^62}
{0.44, 7.67502842783841*^62}
{0.45, 6.276737754737392*^62}
{0.46, 5.430344204267123*^62}
{0.47, 4.5252785114890925*^62}
{0.48, 3.437865498027589*^62}
{0.49, 3.1873605477598797*^62}
{0.5, 2.5438189945617917*^62}
{0.51, 1.9260721162230404*^62}
{0.52, 1.5967406146042006*^62}
{0.53, 1.2811460059926049*^62}
{0.54, 1.1105646744071462*^62}
{0.55, 8.930557285401242*^61}
{0.56, 7.208007384098601*^61}
{0.5700000000000001, 5.521060553059909*^61}
{0.5800000000000001, 4.7291827040149516*^61}
{0.5900000000000001, 3.617095741760132*^61}
{0.6000000000000001, 3.020308395815924*^61}
{0.6100000000000001, 2.6238555465095805*^61}
{0.6200000000000001, 1.926668112957251*^61}
{0.63, 1.7153678808938633*^61}
{0.64, 1.418330820133849*^61}
{0.65, 1.0799251723936342*^61}
{0.66, 8.743828689075618*^60}
{0.67, 7.342830261202712*^60}
{0.68, 5.436439615282684*^60}
{0.6900000000000001, 4.374884799241539*^60}
{0.7000000000000001, 3.85415301528906*^60}
{0.7100000000000001, 2.989489975955451*^60}
{0.7200000000000001, 2.2948788251182877*^60}
{0.7300000000000001, 1.9400773056747447*^60}
{0.7400000000000001, 1.4424396063202323*^60}
{0.7500000000000001, 1.1322367518285192*^60}
{0.76, 1.0683060886830038*^60}
{0.77, 8.100722796086043*^59}
{0.78, 6.073084539321195*^59}
{0.79, 5.020588941201576*^59}
{0.8, 3.5669798094850814*^59}
{0.81, 3.3243909220961036*^59}
{0.8200000000000001, 2.533964461799808*^59}
{0.8300000000000001, 1.8649980422887828*^59}
{0.8400000000000001, 1.5697314699577988*^59}
{0.8500000000000001, 1.2850379122171709*^59}
