{0.16, 1.5889989186208106*^64}
{0.16999999999999998, 2.018574109370625*^64}
{0.18, 2.2760468607450166*^64}
{0.19, 2.133105113074289*^64}
{0.2, 2.1876805666843048*^64}
{0.21, 1.9830772477805588*^64}
{0.22, 2.0255674598836364*^64}
{0.22999999999999998, 1.7340608346903913*^64}
{0.24, 1.5944003058690066*^64}
{0.25, 1.4808495885484813*^64}
{0.26, 1.272776524205861*^64}
{0.27, 1.1932759704341207*^64}
{0.28, 1.0065579655269597*^64}
{0.29000000000000004, 9.485136910472671*^63}
{0.3, 7.831353174651554*^63}
{0.31, 6.854965541653921*^63}
{0.32, 5.926483814646356*^63}
{0.32999999999999996, 5.246300489393357*^63}
{0.33999999999999997, 4.2387172596601744*^63}
{0.35, 3.636152217876342*^63}
{0.36, 3.0598287944412012*^63}
{0.37, 2.618041510723539*^63}
{0.38, 2.2180599241888933*^63}
{0.39, 1.8262528268396467*^63}
{0.4, 1.5395137445093484*^63}
{0.41000000000000003, 1.2867988744141346*^63}
{0.42000000000000004, 1.1129051683649803*^63}
{0.43000000000000005, 8.691868329109849*^62}
{0.43999999999999995, 7.54835044201041*^62}
{0.44999999999999996, 6.419003076825141*^62}
{0.45999999999999996, 5.199871688070107*^62}
{0.47, 4.397463811155778*^62}
{0.48, 3.33231895443103*^62}
{0.49, 2.907557375557923*^62}
{0.5, 2.5072902671373165*^62}
{0.51, 2.0054873370542033*^62}
{0.52, 1.7416596970580814*^62}
{0.53, 1.2270882810700651*^62}
{0.54, 1.0358372357472876*^62}
{0.55, 9.019666670354998*^61}
{0.56, 7.390476801300761*^61}
{0.57, 5.893997279677511*^61}
{0.58, 4.94572257074862*^61}
{0.59, 3.8546899612146944*^61}
{0.6, 3.29411586508862*^61}
{0.61, 2.4951613374509048*^61}
{0.62, 1.9672394088208025*^61}
{0.63, 1.6343991823956976*^61}
{0.64, 1.3201241046450624*^61}
{0.65, 1.0759248683847285*^61}
{0.66, 9.153728380394332*^60}
{0.67, 6.526302748869317*^60}
{0.68, 5.5913287617927454*^60}
{0.6900000000000001, 4.8898450299016526*^60}
{0.7000000000000001, 3.539397072436704*^60}
{0.7100000000000001, 2.7561892482283165*^60}
{0.7200000000000001, 2.3112551065660855*^60}
{0.73, 1.8578228086921463*^60}
{0.74, 1.5267928122103475*^60}
{0.75, 1.1082963757066363*^60}
{0.76, 9.619192430969281*^59}
{0.77, 7.532646562655038*^59}
{0.78, 6.3628268609763086*^59}
{0.79, 4.917112175288797*^59}
{0.8, 3.600194442815028*^59}
{0.81, 3.0715462436657213*^59}
{0.8200000000000001, 2.6469429464434563*^59}
{0.8300000000000001, 2.034800411257812*^59}
{0.8400000000000001, 1.6100404719667994*^59}
{0.8500000000000001, 1.2791951753523054*^59}
