{0.04, 6.448238635006607*^63}
{0.05, 1.3261509910290158*^64}
{0.06, 2.1370090601376988*^64}
{0.07, 2.6407535328153917*^64}
{0.08, 3.702190617083106*^64}
{0.09, 3.824426997722379*^64}
{0.1, 4.1853522402160334*^64}
{0.11, 4.670791057260031*^64}
{0.12, 4.750798076878986*^64}
{0.13, 4.4746594051887233*^64}
{0.14, 4.678218989872104*^64}
{0.15, 4.611947984685944*^64}
{0.16, 4.31178818911139*^64}
{0.17, 3.876484480154799*^64}
{0.18, 3.63881136262932*^64}
{0.19, 3.4730078972622243*^64}
{0.2, 3.248826323232569*^64}
{0.21, 2.7630430925842626*^64}
{0.22, 2.4819597859237412*^64}
{0.23, 2.3060448413596125*^64}
{0.24, 2.0449052055730048*^64}
{0.25, 1.8291336399049034*^64}
{0.26, 1.461334599941334*^64}
{0.27, 1.3628691649722868*^64}
{0.28, 1.1640395839456994*^64}
{0.29000000000000004, 9.817925143271087*^63}
{0.30000000000000004, 8.315552268521544*^63}
{0.31000000000000005, 7.612552637130054*^63}
{0.31999999999999995, 6.286724822466291*^63}
{0.32999999999999996, 5.410740817178584*^63}
{0.33999999999999997, 4.486858225018116*^63}
{0.35, 3.901390246737869*^63}
{0.36, 3.2872835507339698*^63}
{0.37, 2.846640423894473*^63}
{0.38, 2.0681145577032103*^63}
{0.39, 1.972000999869276*^63}
{0.4, 1.5576609991319133*^63}
{0.41000000000000003, 1.3610750899314705*^63}
{0.42000000000000004, 1.1246714267430143*^63}
{0.43000000000000005, 8.811249237518941*^62}
{0.44000000000000006, 7.55899070496473*^62}
{0.44999999999999996, 6.409069273451406*^62}
{0.45999999999999996, 5.34908235895248*^62}
{0.47, 4.313526186662905*^62}
{0.48, 3.568266261816328*^62}
{0.49, 3.03634902965525*^62}
{0.5, 2.3989874763713375*^62}
{0.51, 1.9995535279615314*^62}
{0.52, 1.667318875228765*^62}
{0.53, 1.301636467377377*^62}
{0.54, 1.1390169351832695*^62}
{0.55, 9.32549178764685*^61}
{0.56, 6.501667494785972*^61}
{0.5700000000000001, 5.870259287519765*^61}
{0.5800000000000001, 5.246554376452881*^61}
{0.5900000000000001, 3.749775190371626*^61}
{0.6000000000000001, 3.1579622284538035*^61}
{0.61, 2.5421087870370192*^61}
{0.62, 2.0926378986148206*^61}
{0.63, 1.6941850644345858*^61}
{0.64, 1.294456598311629*^61}
{0.65, 1.1020269721958224*^61}
{0.66, 8.662785114764197*^60}
{0.67, 6.574860163879814*^60}
{0.68, 5.704783103402623*^60}
{0.6900000000000001, 4.619400814455865*^60}
{0.7000000000000001, 3.581095648536869*^60}
{0.7100000000000001, 2.885245252679256*^60}
{0.7200000000000001, 2.3437761785439458*^60}
{0.7300000000000001, 1.8599055729004217*^60}
{0.74, 1.580752532561844*^60}
{0.75, 1.1991649363020987*^60}
{0.76, 9.593082523865742*^59}
{0.77, 7.478439355300919*^59}
{0.78, 6.522790888498879*^59}
{0.79, 4.817998041599031*^59}
{0.8, 3.814291534450432*^59}
{0.81, 2.903918774137028*^59}
{0.8200000000000001, 2.466892830366329*^59}
{0.8300000000000001, 2.0244482637504953*^59}
{0.8400000000000001, 1.7702041847425009*^59}
{0.8500000000000001, 1.2693189622918386*^59}
